region_user,gpcr_gene,n_panel_detected,n_panel_subclasses,frac_panel_detected,gpcr_tier_panel,n_roi_detected,n_roi_subclasses,frac_roi_detected,gpcr_tier_roi,top_panel_subclass,top_panel_mean_log2,top_panel_pct,top_panel_specificity_log2
BMAp,Htr1f,8,8,1.0,universal,48,55,0.873,universal,119 SI-MA-LPO-LHA Skor1 Glut,3.8213279247283936,54.86238532110092,0.654
BMAp,Htr2a,4,8,0.5,intermediate,30,55,0.545,intermediate,120 MEA Otp Foxp2 Glut,4.461013317108154,70.27925531914893,2.0624
BMAp,Htr2c,8,8,1.0,universal,53,55,0.964,universal,120 MEA Otp Foxp2 Glut,9.192038536071776,98.3377659574468,1.6762
BMAp,Mc4r,2,8,0.25,cell_type_specific,6,55,0.109,cell_type_specific,120 MEA Otp Foxp2 Glut,2.1736044883728027,38.49734042553192,1.0591
BMAp,Npy1r,7,8,0.875,universal,34,55,0.618,intermediate,120 MEA Otp Foxp2 Glut,4.204797744750977,68.21808510638297,0.4966
BMAp,Npy2r,6,8,0.75,universal,30,55,0.545,intermediate,012 MEA Slc17a7 Glut,5.071427822113037,75.70281124497991,2.6862
BMAp,Ntsr1,2,8,0.25,cell_type_specific,14,55,0.255,cell_type_specific,012 MEA Slc17a7 Glut,1.865362524986267,34.98995983935743,0.3215
BMAp,Ntsr2,0,8,0.0,cell_type_specific,0,55,0.0,cell_type_specific,012 MEA Slc17a7 Glut,0.288607656955719,5.948795180722891,0.0271
BMAp,Oprd1,3,8,0.375,intermediate,17,55,0.309,intermediate,113 MEA-COA-BMA Ccdc42 Glut,1.982660174369812,36.016159105034184,0.8459
BMAp,Oprk1,5,8,0.625,intermediate,23,55,0.418,intermediate,119 SI-MA-LPO-LHA Skor1 Glut,2.4568893909454346,39.26605504587156,0.3887
BMAp,Oprm1,8,8,1.0,universal,52,55,0.945,universal,120 MEA Otp Foxp2 Glut,6.73340368270874,91.5558510638298,0.3735
BMAp,Oxtr,2,8,0.25,cell_type_specific,22,55,0.4,intermediate,012 MEA Slc17a7 Glut,3.342653274536133,58.182730923694784,1.9968
BMAp,Sstr2,6,8,0.75,universal,32,55,0.582,intermediate,120 MEA Otp Foxp2 Glut,3.611842393875122,62.43351063829788,1.1432
BMAp,Tacr1,5,8,0.625,intermediate,29,55,0.527,intermediate,012 MEA Slc17a7 Glut,3.940103054046631,61.6214859437751,1.3659
BMAp,Tacr3,3,8,0.375,intermediate,12,55,0.218,cell_type_specific,082 CEA-BST Ebf1 Pdyn Gaba,1.8414124250411987,30.117714613838647,0.5593
CA,Adcyap1r1,4,4,1.0,universal,18,19,0.947,universal,037 DG Glut,3.399977445602417,46.58775154196,1.7666
CA,Adora2a,0,4,0.0,cell_type_specific,0,19,0.0,cell_type_specific,017 CA3 Glut,0.0199302583932876,0.4584288393415295,0.0089
CA,Avpr1a,0,4,0.0,cell_type_specific,0,19,0.0,cell_type_specific,025 CA2-FC-IG Glut,0.0269607789814472,0.6116207951070336,0.0179
CA,Avpr1b,0,4,0.0,cell_type_specific,0,19,0.0,cell_type_specific,025 CA2-FC-IG Glut,0.8086999654769897,16.819571865443425,0.773
CA,Cckbr,1,4,0.25,cell_type_specific,4,19,0.211,cell_type_specific,017 CA3 Glut,1.0387775897979736,20.983538237132738,0.3355
CA,Chrm2,0,4,0.0,cell_type_specific,4,19,0.211,cell_type_specific,017 CA3 Glut,0.1539948433637619,2.8755990831423213,0.0701
CA,Chrm4,0,4,0.0,cell_type_specific,0,19,0.0,cell_type_specific,025 CA2-FC-IG Glut,0.0317337065935134,0.6116207951070336,0.0128
CA,Cnr1,3,4,0.75,universal,18,19,0.947,universal,017 CA3 Glut,6.555048942565918,93.97791206501354,0.7841
CA,Crhr1,2,4,0.5,intermediate,3,19,0.158,cell_type_specific,017 CA3 Glut,1.6023228168487549,33.11106480516774,0.069
CA,Drd1,1,4,0.25,cell_type_specific,4,19,0.211,cell_type_specific,025 CA2-FC-IG Glut,1.1488029956817627,21.406727828746178,0.8898
CA,Drd2,0,4,0.0,cell_type_specific,2,19,0.105,cell_type_specific,017 CA3 Glut,0.1917797178030014,3.4382162950614714,0.1793
CA,Gabbr1,4,4,1.0,universal,19,19,1.0,universal,016 CA1-ProS Glut,8.702841758728027,99.47723982628276,0.4515
CA,Gabbr2,4,4,1.0,universal,17,19,0.895,universal,017 CA3 Glut,9.016697883605955,99.60408418420504,0.767
CA,Galr1,0,4,0.0,cell_type_specific,0,19,0.0,cell_type_specific,017 CA3 Glut,0.0296005364507436,0.6042925609501979,0.0097
CA,Gpr101,0,4,0.0,cell_type_specific,2,19,0.105,cell_type_specific,016 CA1-ProS Glut,0.7536776065826416,13.334405661894804,0.378
CA,Gpr52,0,4,0.0,cell_type_specific,0,19,0.0,cell_type_specific,016 CA1-ProS Glut,0.0271856281906366,0.6112272800386038,0.0136
CA,Gpr6,0,4,0.0,cell_type_specific,0,19,0.0,cell_type_specific,017 CA3 Glut,0.0546380244195461,1.22942279641592,0.0164
CA,Gpr88,0,4,0.0,cell_type_specific,0,19,0.0,cell_type_specific,016 CA1-ProS Glut,0.0095720961689949,0.1809554447482708,0.0017
CA,Grm1,4,4,1.0,universal,16,19,0.842,universal,037 DG Glut,8.426647186279297,93.37611363777958,1.0382
CA,Grm5,4,4,1.0,universal,18,19,0.947,universal,016 CA1-ProS Glut,10.792932510375977,99.99597876789448,0.4471
CA,Hcrtr1,0,4,0.0,cell_type_specific,0,19,0.0,cell_type_specific,017 CA3 Glut,0.2792603373527527,6.230464680141696,0.1927
CA,Hcrtr2,1,4,0.25,cell_type_specific,7,19,0.368,intermediate,025 CA2-FC-IG Glut,1.999173879623413,36.69724770642202,1.0549
CA,Htr1a,2,4,0.5,intermediate,5,19,0.263,cell_type_specific,016 CA1-ProS Glut,3.3255794048309326,54.6485443139778,1.9341
CA,Htr1b,1,4,0.25,cell_type_specific,3,19,0.158,cell_type_specific,016 CA1-ProS Glut,2.140268087387085,37.89609136239344,2.0572
CA,Htr1f,3,4,0.75,universal,13,19,0.684,intermediate,016 CA1-ProS Glut,4.495865821838379,65.32089432202027,1.0188
CA,Htr2a,3,4,0.75,universal,10,19,0.526,intermediate,025 CA2-FC-IG Glut,3.00827431678772,51.37614678899083,1.0266
CA,Htr2c,3,4,0.75,universal,11,19,0.579,intermediate,017 CA3 Glut,3.1762945652008057,41.96707647426548,1.3783
CA,Mc4r,2,4,0.5,intermediate,3,19,0.158,cell_type_specific,016 CA1-ProS Glut,1.1249405145645142,21.320572623451824,0.0999
CA,Npy1r,4,4,1.0,universal,10,19,0.526,intermediate,025 CA2-FC-IG Glut,3.9503602981567374,68.50152905198776,1.4105
CA,Npy2r,4,4,1.0,universal,7,19,0.368,intermediate,017 CA3 Glut,5.60970401763916,85.3719524901021,2.2372
CA,Ntsr1,0,4,0.0,cell_type_specific,0,19,0.0,cell_type_specific,016 CA1-ProS Glut,0.4782624542713165,9.204600289528711,0.1319
CA,Ntsr2,2,4,0.5,intermediate,4,19,0.211,cell_type_specific,025 CA2-FC-IG Glut,5.684542179107666,81.9571865443425,3.4052
CA,Oprd1,0,4,0.0,cell_type_specific,3,19,0.158,cell_type_specific,037 DG Glut,0.4267588555812835,6.286212697028222,0.1364
CA,Oprk1,0,4,0.0,cell_type_specific,1,19,0.053,cell_type_specific,016 CA1-ProS Glut,0.0957393422722816,1.7251085732668492,0.0593
CA,Oprm1,0,4,0.0,cell_type_specific,11,19,0.579,intermediate,037 DG Glut,1.2284034490585327,17.68986355990281,0.9357
CA,Oxtr,1,4,0.25,cell_type_specific,4,19,0.211,cell_type_specific,025 CA2-FC-IG Glut,1.2692434787750244,24.464831804281346,0.4704
CA,Sstr2,2,4,0.5,intermediate,8,19,0.421,intermediate,017 CA3 Glut,1.3386461734771729,26.797249426963948,0.3535
CA,Tacr1,0,4,0.0,cell_type_specific,4,19,0.211,cell_type_specific,017 CA3 Glut,0.282815158367157,4.855178162117108,0.1536
CA,Tacr3,0,4,0.0,cell_type_specific,1,19,0.053,cell_type_specific,017 CA3 Glut,0.5687132477760315,11.1689935403209,0.0417
CP,Adcyap1r1,3,6,0.5,intermediate,12,15,0.8,universal,054 STR Prox1 Lhx6 Gaba,5.550707340240479,86.10354223433242,0.8564
CP,Adora2a,2,6,0.333,intermediate,2,15,0.133,cell_type_specific,062 STR D2 Gaba,9.196434020996094,99.29433816638183,7.8369
CP,Avpr1a,0,6,0.0,cell_type_specific,0,15,0.0,cell_type_specific,056 Sst Chodl Gaba,0.0935070514678955,1.7391304347826086,0.093
CP,Avpr1b,0,6,0.0,cell_type_specific,0,15,0.0,cell_type_specific,061 STR D1 Gaba,0.0026957916561514,0.0540216086434573,0.0021
CP,Cckbr,0,6,0.0,cell_type_specific,6,15,0.4,intermediate,061 STR D1 Gaba,0.4650364518165588,8.913565426170468,0.1588
CP,Chrm2,3,6,0.5,intermediate,10,15,0.667,intermediate,058 PAL-STR Gaba-Chol,8.969858169555664,100.0,0.3198
CP,Chrm4,0,6,0.0,cell_type_specific,0,15,0.0,cell_type_specific,061 STR D1 Gaba,0.2712333500385284,5.558223289315727,0.0025
CP,Cnr1,6,6,1.0,universal,13,15,0.867,universal,054 STR Prox1 Lhx6 Gaba,9.67860984802246,99.1825613079019,1.9193
CP,Crhr1,2,6,0.333,intermediate,7,15,0.467,intermediate,058 PAL-STR Gaba-Chol,3.0742712020874023,66.66666666666666,1.1197
CP,Drd1,3,6,0.5,intermediate,7,15,0.467,intermediate,061 STR D1 Gaba,8.769994735717773,99.81992797118848,0.4435
CP,Drd2,4,6,0.667,intermediate,5,15,0.333,intermediate,062 STR D2 Gaba,9.260696411132812,99.34946799713325,0.2366
CP,Gabbr1,6,6,1.0,universal,15,15,1.0,universal,058 PAL-STR Gaba-Chol,9.17882251739502,100.0,0.5908
CP,Gabbr2,6,6,1.0,universal,14,15,0.933,universal,056 Sst Chodl Gaba,8.171770095825195,99.1304347826087,0.2372
CP,Galr1,1,6,0.167,cell_type_specific,1,15,0.067,cell_type_specific,056 Sst Chodl Gaba,6.714596271514893,87.39130434782608,6.7037
CP,Gpr101,0,6,0.0,cell_type_specific,0,15,0.0,cell_type_specific,056 Sst Chodl Gaba,0.9241074323654176,16.956521739130434,0.2951
CP,Gpr52,1,6,0.167,cell_type_specific,1,15,0.067,cell_type_specific,062 STR D2 Gaba,2.7751266956329346,49.62236065935278,2.2569
CP,Gpr6,1,6,0.167,cell_type_specific,1,15,0.067,cell_type_specific,062 STR D2 Gaba,6.452229022979736,92.5629858316335,5.7406
CP,Gpr88,6,6,1.0,universal,15,15,1.0,universal,062 STR D2 Gaba,10.922593116760254,99.99448701692486,0.2243
CP,Grm1,6,6,1.0,universal,15,15,1.0,universal,061 STR D1 Gaba,8.991576194763184,98.8295318127251,0.2184
CP,Grm5,6,6,1.0,universal,15,15,1.0,universal,062 STR D2 Gaba,11.380799293518066,100.0,0.0238
CP,Hcrtr1,0,6,0.0,cell_type_specific,1,15,0.067,cell_type_specific,056 Sst Chodl Gaba,0.5097761154174805,10.434782608695652,0.2434
CP,Hcrtr2,1,6,0.167,cell_type_specific,2,15,0.133,cell_type_specific,058 PAL-STR Gaba-Chol,4.368906497955322,76.66666666666667,4.0073
CP,Htr1a,2,6,0.333,intermediate,5,15,0.333,intermediate,056 Sst Chodl Gaba,2.5545780658721924,44.78260869565218,0.403
CP,Htr1b,3,6,0.5,intermediate,5,15,0.333,intermediate,061 STR D1 Gaba,6.497917652130127,93.31932773109244,0.1496
CP,Htr1f,6,6,1.0,universal,14,15,0.933,universal,054 STR Prox1 Lhx6 Gaba,5.127262592315674,75.47683923705722,0.2162
CP,Htr2a,4,6,0.667,intermediate,7,15,0.467,intermediate,054 STR Prox1 Lhx6 Gaba,4.875189781188965,79.291553133515,2.1064
CP,Htr2c,6,6,1.0,universal,8,15,0.533,intermediate,062 STR D2 Gaba,7.337229251861572,94.32714041567893,0.3342
CP,Mc4r,1,6,0.167,cell_type_specific,2,15,0.133,cell_type_specific,054 STR Prox1 Lhx6 Gaba,2.214155912399292,42.234332425068125,1.7976
CP,Npy1r,3,6,0.5,intermediate,6,15,0.4,intermediate,061 STR D1 Gaba,2.285956621170044,42.02881152460984,0.0212
CP,Npy2r,1,6,0.167,cell_type_specific,1,15,0.067,cell_type_specific,056 Sst Chodl Gaba,7.0023512840271,96.08695652173913,6.8169
CP,Ntsr1,1,6,0.167,cell_type_specific,4,15,0.267,cell_type_specific,056 Sst Chodl Gaba,1.0985881090164185,21.30434782608696,0.9336
CP,Ntsr2,0,6,0.0,cell_type_specific,0,15,0.0,cell_type_specific,062 STR D2 Gaba,0.7921293377876282,15.16621643971553,0.0806
CP,Oprd1,2,6,0.333,intermediate,5,15,0.333,intermediate,058 PAL-STR Gaba-Chol,5.884549617767334,96.66666666666669,2.0216
CP,Oprk1,3,6,0.5,intermediate,5,15,0.333,intermediate,061 STR D1 Gaba,2.768958568572998,47.76110444177671,0.9174
CP,Oprm1,5,6,0.833,universal,12,15,0.8,universal,058 PAL-STR Gaba-Chol,7.950080394744873,100.0,2.8773
CP,Oxtr,0,6,0.0,cell_type_specific,1,15,0.067,cell_type_specific,056 Sst Chodl Gaba,0.6061923503875732,11.73913043478261,0.4402
CP,Sstr2,0,6,0.0,cell_type_specific,4,15,0.267,cell_type_specific,056 Sst Chodl Gaba,1.012064814567566,19.565217391304348,0.1579
CP,Tacr1,3,6,0.5,intermediate,7,15,0.467,intermediate,056 Sst Chodl Gaba,10.509405136108398,100.0,0.5156
CP,Tacr3,1,6,0.167,cell_type_specific,2,15,0.133,cell_type_specific,058 PAL-STR Gaba-Chol,7.120426654815674,93.33333333333331,6.7953
LM,Adcyap1r1,7,7,1.0,universal,87,87,1.0,universal,102 DMH-LHA Gsx1 Gaba,5.294612407684326,76.74349881796691,0.2302
LM,Adora2a,0,7,0.0,cell_type_specific,0,87,0.0,cell_type_specific,126 ARH-PVp Tbx3 Glut,0.0304201897233724,0.6093102607847917,0.005
LM,Avpr1a,0,7,0.0,cell_type_specific,4,87,0.046,cell_type_specific,141 PH-SUM Foxa1 Glut,0.4558156430721283,8.045190003423485,0.0513
LM,Avpr1b,0,7,0.0,cell_type_specific,0,87,0.0,cell_type_specific,102 DMH-LHA Gsx1 Gaba,0.0037983329966664,0.0738770685579196,0.0009
LM,Cckbr,1,7,0.143,cell_type_specific,10,87,0.115,cell_type_specific,143 MM-ant Foxb1 Glut,1.3627395629882812,24.425234504322237,0.5657
LM,Chrm2,5,7,0.714,universal,68,87,0.782,universal,138 PH Pitx2 Glut,4.448687076568604,58.27298050139276,0.2329
LM,Chrm4,0,7,0.0,cell_type_specific,0,87,0.0,cell_type_specific,102 DMH-LHA Gsx1 Gaba,0.0029170853085815,0.0591016548463357,0.0005
LM,Cnr1,5,7,0.714,universal,75,87,0.862,universal,138 PH Pitx2 Glut,4.169476509094238,61.33704735376044,0.1421
LM,Crhr1,3,7,0.429,intermediate,21,87,0.241,cell_type_specific,141 PH-SUM Foxa1 Glut,1.8352484703063965,31.633002396439576,0.4596
LM,Drd1,0,7,0.0,cell_type_specific,11,87,0.126,cell_type_specific,138 PH Pitx2 Glut,0.8935889601707458,15.598885793871869,0.4197
LM,Drd2,4,7,0.571,intermediate,20,87,0.23,cell_type_specific,102 DMH-LHA Gsx1 Gaba,1.7576119899749756,27.364066193853425,0.0692
LM,Gabbr1,7,7,1.0,universal,87,87,1.0,universal,132 AHN-RCH-LHA Otp Fezf1 Glut,8.334396362304688,98.12319538017324,0.0512
LM,Gabbr2,7,7,1.0,universal,87,87,1.0,universal,143 MM-ant Foxb1 Glut,8.360491752624512,96.52381828214088,0.0143
LM,Galr1,1,7,0.143,cell_type_specific,15,87,0.172,cell_type_specific,132 AHN-RCH-LHA Otp Fezf1 Glut,1.5039092302322388,24.590952839268525,0.5108
LM,Gpr101,5,7,0.714,universal,59,87,0.678,intermediate,126 ARH-PVp Tbx3 Glut,3.833952188491821,50.88959298074579,1.6808
LM,Gpr52,0,7,0.0,cell_type_specific,0,87,0.0,cell_type_specific,144 MM Foxb1 Glut,0.3147386908531189,6.384522370012091,0.1189
LM,Gpr6,0,7,0.0,cell_type_specific,1,87,0.011,cell_type_specific,126 ARH-PVp Tbx3 Glut,0.6274182200431824,11.211308798440166,0.1697
LM,Gpr88,1,7,0.143,cell_type_specific,23,87,0.264,cell_type_specific,102 DMH-LHA Gsx1 Gaba,1.3249114751815796,20.75945626477541,0.4504
LM,Grm1,7,7,1.0,universal,85,87,0.977,universal,144 MM Foxb1 Glut,9.707387924194336,99.51632406287789,0.861
LM,Grm5,7,7,1.0,universal,86,87,0.989,universal,132 AHN-RCH-LHA Otp Fezf1 Glut,10.175089836120604,99.15784408084696,0.5062
LM,Hcrtr1,0,7,0.0,cell_type_specific,4,87,0.046,cell_type_specific,138 PH Pitx2 Glut,0.5303479433059692,9.58217270194986,0.0604
LM,Hcrtr2,6,7,0.857,universal,38,87,0.437,intermediate,138 PH Pitx2 Glut,3.592529058456421,51.75487465181059,0.4915
LM,Htr1a,0,7,0.0,cell_type_specific,17,87,0.195,cell_type_specific,138 PH Pitx2 Glut,1.1075265407562256,18.885793871866294,0.2343
LM,Htr1b,3,7,0.429,intermediate,39,87,0.448,intermediate,132 AHN-RCH-LHA Otp Fezf1 Glut,1.8777697086334229,30.726660250240617,0.3999
LM,Htr1f,3,7,0.429,intermediate,60,87,0.69,intermediate,132 AHN-RCH-LHA Otp Fezf1 Glut,2.09648060798645,32.290664100096244,0.5463
LM,Htr2a,4,7,0.571,intermediate,38,87,0.437,intermediate,143 MM-ant Foxb1 Glut,5.176398277282715,72.57678867022254,3.0597
LM,Htr2c,6,7,0.857,universal,78,87,0.897,universal,138 PH Pitx2 Glut,6.237547397613525,71.08635097493035,0.7199
LM,Mc4r,0,7,0.0,cell_type_specific,1,87,0.011,cell_type_specific,138 PH Pitx2 Glut,0.3532004952430725,6.183844011142061,0.1411
LM,Npy1r,4,7,0.571,intermediate,33,87,0.379,intermediate,126 ARH-PVp Tbx3 Glut,3.759177923202514,51.7426273458445,1.9766
LM,Npy2r,1,7,0.143,cell_type_specific,31,87,0.356,intermediate,126 ARH-PVp Tbx3 Glut,1.4524376392364502,22.69071411162564,0.4941
LM,Ntsr1,1,7,0.143,cell_type_specific,17,87,0.195,cell_type_specific,141 PH-SUM Foxa1 Glut,2.091413974761963,33.173570694967474,1.4881
LM,Ntsr2,0,7,0.0,cell_type_specific,1,87,0.011,cell_type_specific,102 DMH-LHA Gsx1 Gaba,0.1969541609287262,3.546099290780142,0.0044
LM,Oprd1,1,7,0.143,cell_type_specific,3,87,0.034,cell_type_specific,102 DMH-LHA Gsx1 Gaba,1.565621852874756,25.87174940898345,0.8604
LM,Oprk1,2,7,0.286,cell_type_specific,49,87,0.563,intermediate,126 ARH-PVp Tbx3 Glut,2.1724815368652344,33.85327808920302,0.3912
LM,Oprm1,7,7,1.0,universal,80,87,0.92,universal,141 PH-SUM Foxa1 Glut,5.103102207183838,71.58507360492982,0.786
LM,Oxtr,0,7,0.0,cell_type_specific,7,87,0.08,cell_type_specific,126 ARH-PVp Tbx3 Glut,1.1205378770828247,19.132342188642458,0.4215
LM,Sstr2,2,7,0.286,cell_type_specific,21,87,0.241,cell_type_specific,126 ARH-PVp Tbx3 Glut,1.221505880355835,20.887155739702656,0.0096
LM,Tacr1,1,7,0.143,cell_type_specific,36,87,0.414,intermediate,132 AHN-RCH-LHA Otp Fezf1 Glut,1.5976301431655884,23.84504331087584,0.4533
LM,Tacr3,1,7,0.143,cell_type_specific,16,87,0.184,cell_type_specific,126 ARH-PVp Tbx3 Glut,2.1990060806274414,29.807457957592003,1.3678
ORBm,Adcyap1r1,10,12,0.833,universal,22,29,0.759,universal,053 Sst Gaba,5.754570007324219,80.00743909243072,0.4066
ORBm,Adora2a,0,12,0.0,cell_type_specific,1,29,0.034,cell_type_specific,029 L6b CTX Glut,0.2321980744600296,4.03530895334174,0.168
ORBm,Avpr1a,0,12,0.0,cell_type_specific,0,29,0.0,cell_type_specific,032 L5 NP CTX Glut,0.455147236585617,7.57271815446339,0.3804
ORBm,Avpr1b,0,12,0.0,cell_type_specific,0,29,0.0,cell_type_specific,005 L5 IT CTX Glut,0.0092261405661702,0.1810364335822584,0.0049
ORBm,Cckbr,8,12,0.667,intermediate,12,29,0.414,intermediate,007 L2/3 IT CTX Glut,4.865027904510498,73.3566354718683,0.0777
ORBm,Chrm2,9,12,0.75,universal,15,29,0.517,intermediate,032 L5 NP CTX Glut,7.835376739501953,90.72216649949848,2.2256
ORBm,Chrm4,0,12,0.0,cell_type_specific,0,29,0.0,cell_type_specific,006 L4/5 IT CTX Glut,0.0222337190061807,0.4734313171283211,0.0021
ORBm,Cnr1,11,12,0.917,universal,24,29,0.828,universal,046 Vip Gaba,9.52707290649414,98.47421422032346,2.0832
ORBm,Crhr1,5,12,0.417,intermediate,8,29,0.276,cell_type_specific,006 L4/5 IT CTX Glut,4.034988880157471,65.54550593555682,0.6939
